OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight
10301,WANDK,8,00:00.0,00:00.0,00:00.0,2,45.08
10302,SUPRD,4,00:00.0,00:00.0,00:00.0,2,6.27
10303,GODOS,7,00:00.0,00:00.0,00:00.0,2,107.83
10304,TORTU,1,00:00.0,00:00.0,00:00.0,2,63.79
10305,OLDWO,8,00:00.0,00:00.0,00:00.0,3,257.62
10306,ROMEY,1,00:00.0,00:00.0,00:00.0,3,7.56
10307,LONEP,2,00:00.0,00:00.0,00:00.0,2,0.56
10308,ANATR,7,00:00.0,00:00.0,00:00.0,3,1.61
10309,HUNGO,3,00:00.0,00:00.0,00:00.0,1,47.3
10310,THEBI,8,00:00.0,00:00.0,00:00.0,2,17.52
10311,DUMON,1,00:00.0,00:00.0,00:00.0,3,24.69
10312,WANDK,2,00:00.0,00:00.0,00:00.0,2,40.26
10313,QUICK,2,00:00.0,00:00.0,00:00.0,2,1.96
10314,RATTC,1,00:00.0,00:00.0,00:00.0,2,74.16
10315,ISLAT,4,00:00.0,00:00.0,00:00.0,2,41.76
10316,RATTC,1,00:00.0,00:00.0,00:00.0,3,150.15
10317,LONEP,6,00:00.0,00:00.0,00:00.0,1,12.69
10318,ISLAT,8,00:00.0,00:00.0,00:00.0,2,4.73
10319,TORTU,7,00:00.0,00:00.0,00:00.0,3,64.5
10320,WARTH,5,00:00.0,00:00.0,00:00.0,3,34.57
10321,ISLAT,3,00:00.0,00:00.0,00:00.0,2,3.43
10322,PERIC,7,00:00.0,00:00.0,00:00.0,3,0.4
10323,KOENE,4,00:00.0,00:00.0,00:00.0,1,4.88
10324,SAVEA,9,00:00.0,00:00.0,00:00.0,1,214.27
10325,KOENE,1,00:00.0,00:00.0,00:00.0,3,64.86
10326,BOLID,4,00:00.0,00:00.0,00:00.0,2,77.92
10327,FOLKO,2,00:00.0,00:00.0,00:00.0,1,63.36
10328,FURIB,4,00:00.0,00:00.0,00:00.0,3,87.03
10329,SPLIR,4,00:00.0,00:00.0,00:00.0,2,191.67
10330,LILAS,3,00:00.0,00:00.0,00:00.0,1,12.75
10331,BONAP,9,00:00.0,00:00.0,00:00.0,1,10.19
10332,MEREP,3,00:00.0,00:00.0,00:00.0,2,52.84
10333,WARTH,5,00:00.0,00:00.0,00:00.0,3,0.59
10334,VICTE,8,00:00.0,00:00.0,00:00.0,2,8.56
10335,HUNGO,7,00:00.0,00:00.0,00:00.0,2,42.11
10336,PRINI,7,00:00.0,00:00.0,00:00.0,2,15.51
10337,FRANK,4,00:00.0,00:00.0,00:00.0,3,108.26
10338,OLDWO,4,00:00.0,00:00.0,00:00.0,3,84.21
10339,MEREP,2,00:00.0,00:00.0,00:00.0,2,15.66
10340,BONAP,1,00:00.0,00:00.0,00:00.0,3,166.31
10341,SIMOB,7,00:00.0,00:00.0,00:00.0,3,26.78
10342,FRANK,4,00:00.0,00:00.0,00:00.0,2,54.83
10343,LEHMS,4,00:00.0,00:00.0,00:00.0,1,110.37
10344,WHITC,4,00:00.0,00:00.0,00:00.0,2,23.29
10345,QUICK,2,00:00.0,00:00.0,00:00.0,2,249.06
10346,RATTC,3,00:00.0,00:00.0,00:00.0,3,142.08
10347,FAMIA,4,00:00.0,00:00.0,00:00.0,3,3.1
10348,WANDK,4,00:00.0,00:00.0,00:00.0,2,0.78
10349,SPLIR,7,00:00.0,00:00.0,00:00.0,1,8.63
10350,LAMAI,6,00:00.0,00:00.0,00:00.0,2,64.19
10351,ERNSH,1,00:00.0,00:00.0,00:00.0,1,162.33
10352,FURIB,3,00:00.0,00:00.0,00:00.0,3,1.3
10353,PICCO,7,00:00.0,00:00.0,00:00.0,3,360.63
10354,PERIC,8,00:00.0,00:00.0,00:00.0,3,53.8
10355,AROUT,6,00:00.0,00:00.0,00:00.0,1,41.95
10356,WANDK,6,00:00.0,00:00.0,00:00.0,2,36.71
10357,LILAS,1,00:00.0,00:00.0,00:00.0,3,34.88
10358,LAMAI,5,00:00.0,00:00.0,00:00.0,1,19.64
10359,SEVES,5,00:00.0,00:00.0,00:00.0,3,288.43
10360,BLONP,4,00:00.0,00:00.0,00:00.0,3,131.7
10361,QUICK,1,00:00.0,00:00.0,00:00.0,2,183.17
10362,BONAP,3,00:00.0,00:00.0,00:00.0,1,96.04
10363,DRACD,4,00:00.0,00:00.0,00:00.0,3,30.54
10364,EASTC,1,00:00.0,00:00.0,00:00.0,1,71.97
10365,ANTON,3,00:00.0,00:00.0,00:00.0,2,22
10366,GALED,8,00:00.0,00:00.0,00:00.0,2,10.14
10367,VAFFE,7,00:00.0,00:00.0,00:00.0,3,13.55
10368,ERNSH,2,00:00.0,00:00.0,00:00.0,2,101.95
10369,SPLIR,8,00:00.0,00:00.0,00:00.0,2,195.68
10370,CHOPS,6,00:00.0,00:00.0,00:00.0,2,1.17
10371,LAMAI,1,00:00.0,00:00.0,00:00.0,1,0.45
10372,QUEEN,5,00:00.0,00:00.0,00:00.0,2,890.78
10373,HUNGO,4,00:00.0,00:00.0,00:00.0,3,124.12
10374,WOLZA,1,00:00.0,00:00.0,00:00.0,3,3.94
10375,HUNGC,3,00:00.0,00:00.0,00:00.0,2,20.12
10376,MEREP,1,00:00.0,00:00.0,00:00.0,2,20.39
10377,SEVES,1,00:00.0,00:00.0,00:00.0,3,22.21
10378,FOLKO,5,00:00.0,00:00.0,00:00.0,3,5.44
10379,QUEDE,2,00:00.0,00:00.0,00:00.0,1,45.03
10380,HUNGO,8,00:00.0,00:00.0,00:00.0,3,35.03
10381,LILAS,3,00:00.0,00:00.0,00:00.0,3,7.99
10382,ERNSH,4,00:00.0,00:00.0,00:00.0,1,94.77
10383,AROUT,8,00:00.0,00:00.0,00:00.0,3,34.24
10384,BERGS,3,00:00.0,00:00.0,00:00.0,3,168.64
10385,SPLIR,1,00:00.0,00:00.0,00:00.0,2,30.96
10386,FAMIA,9,00:00.0,00:00.0,00:00.0,3,13.99
10387,SANTG,1,00:00.0,00:00.0,00:00.0,2,93.63
10388,SEVES,2,00:00.0,00:00.0,00:00.0,1,34.86
10389,BOTTM,4,00:00.0,00:00.0,00:00.0,2,47.42
10390,ERNSH,6,00:00.0,00:00.0,00:00.0,1,126.38
10391,DRACD,3,00:00.0,00:00.0,00:00.0,3,5.45
10392,PICCO,2,00:00.0,00:00.0,00:00.0,3,122.46
10393,SAVEA,1,00:00.0,00:00.0,00:00.0,3,126.56
10394,HUNGC,1,00:00.0,00:00.0,00:00.0,3,30.34
10395,HILAA,6,00:00.0,00:00.0,00:00.0,1,184.41
10396,FRANK,1,00:00.0,00:00.0,00:00.0,3,135.35
10397,PRINI,5,00:00.0,00:00.0,00:00.0,1,60.26
10398,SAVEA,2,00:00.0,00:00.0,00:00.0,3,89.16
10399,VAFFE,8,00:00.0,00:00.0,00:00.0,3,27.36
10400,EASTC,1,00:00.0,00:00.0,00:00.0,3,83.93
10401,RATTC,1,00:00.0,00:00.0,00:00.0,1,12.51
10402,ERNSH,8,00:00.0,00:00.0,00:00.0,2,67.88
10403,ERNSH,4,00:00.0,00:00.0,00:00.0,3,73.79
10404,MAGAA,2,00:00.0,00:00.0,00:00.0,1,155.97
10405,LINOD,1,00:00.0,00:00.0,00:00.0,1,34.82
10406,QUEEN,7,00:00.0,00:00.0,00:00.0,1,108.04
10407,OTTIK,2,00:00.0,00:00.0,00:00.0,2,91.48
10408,FOLIG,8,00:00.0,00:00.0,00:00.0,1,11.26
10409,OCEAN,3,00:00.0,00:00.0,00:00.0,1,29.83
10410,BOTTM,3,00:00.0,00:00.0,00:00.0,3,2.4
10411,BOTTM,9,00:00.0,00:00.0,00:00.0,3,23.65
10412,WARTH,8,00:00.0,00:00.0,00:00.0,2,3.77
10413,LAMAI,3,00:00.0,00:00.0,00:00.0,2,95.66
10414,FAMIA,2,00:00.0,00:00.0,00:00.0,3,21.48
10415,HUNGC,3,00:00.0,00:00.0,00:00.0,1,0.2
10416,WARTH,8,00:00.0,00:00.0,00:00.0,3,22.72
10417,SIMOB,4,00:00.0,00:00.0,00:00.0,3,70.29
10418,QUICK,4,00:00.0,00:00.0,00:00.0,1,17.55
10419,RICSU,4,00:00.0,00:00.0,00:00.0,2,137.35
10420,WELLI,3,00:00.0,00:00.0,00:00.0,1,44.12
10421,QUEDE,8,00:00.0,00:00.0,00:00.0,1,99.23
10422,FRANS,2,00:00.0,00:00.0,00:00.0,1,3.02
10423,GOURL,6,00:00.0,00:00.0,00:00.0,3,24.5
10424,MEREP,7,00:00.0,00:00.0,00:00.0,2,370.61
10425,LAMAI,6,00:00.0,00:00.0,00:00.0,2,7.93
10426,GALED,4,00:00.0,00:00.0,00:00.0,1,18.69
10427,PICCO,4,00:00.0,00:00.0,00:00.0,2,31.29
10428,REGGC,7,00:00.0,00:00.0,00:00.0,1,11.09
10429,HUNGO,3,00:00.0,00:00.0,00:00.0,2,56.63
10430,ERNSH,4,00:00.0,00:00.0,00:00.0,1,458.78
10431,BOTTM,4,00:00.0,00:00.0,00:00.0,2,44.17
10432,SPLIR,3,00:00.0,00:00.0,00:00.0,2,4.34
10433,PRINI,3,00:00.0,00:00.0,00:00.0,3,73.83
10434,FOLKO,3,00:00.0,00:00.0,00:00.0,2,17.92
10435,CONSH,8,00:00.0,00:00.0,00:00.0,2,9.21
10436,BLONP,3,00:00.0,00:00.0,00:00.0,2,156.66
10437,WARTH,8,00:00.0,00:00.0,00:00.0,1,19.97
10438,TOMSP,3,00:00.0,00:00.0,00:00.0,2,8.24
10439,MEREP,6,00:00.0,00:00.0,00:00.0,3,4.07
10440,SAVEA,4,00:00.0,00:00.0,00:00.0,2,86.53
10441,OLDWO,3,00:00.0,00:00.0,00:00.0,2,73.02
10442,ERNSH,3,00:00.0,00:00.0,00:00.0,2,47.94
10443,REGGC,8,00:00.0,00:00.0,00:00.0,1,13.95
10444,BERGS,3,00:00.0,00:00.0,00:00.0,3,3.5
10445,BERGS,3,00:00.0,00:00.0,00:00.0,1,9.3
10446,TOMSP,6,00:00.0,00:00.0,00:00.0,1,14.68
10447,RICAR,4,00:00.0,00:00.0,00:00.0,2,68.66
10448,RANCH,4,00:00.0,00:00.0,00:00.0,2,38.82
10449,BLONP,3,00:00.0,00:00.0,00:00.0,2,53.3
10450,VICTE,8,00:00.0,00:00.0,00:00.0,2,7.23
10451,QUICK,4,00:00.0,00:00.0,00:00.0,3,189.09
10452,SAVEA,8,00:00.0,00:00.0,00:00.0,1,140.26
10453,AROUT,1,00:00.0,00:00.0,00:00.0,2,25.36
10454,LAMAI,4,00:00.0,00:00.0,00:00.0,3,2.74
10455,WARTH,8,00:00.0,00:00.0,00:00.0,2,180.45
10456,KOENE,8,00:00.0,00:00.0,00:00.0,2,8.12
10457,KOENE,2,00:00.0,00:00.0,00:00.0,1,11.57
10458,SUPRD,7,00:00.0,00:00.0,00:00.0,3,147.06
10459,VICTE,4,00:00.0,00:00.0,00:00.0,2,25.09
10460,FOLKO,8,00:00.0,00:00.0,00:00.0,1,16.27
10461,LILAS,1,00:00.0,00:00.0,00:00.0,3,148.61
10462,CONSH,2,00:00.0,00:00.0,00:00.0,1,6.17
10463,SUPRD,5,00:00.0,00:00.0,00:00.0,3,14.78
10464,FURIB,4,00:00.0,00:00.0,00:00.0,2,89
10465,VAFFE,1,00:00.0,00:00.0,00:00.0,3,145.04
10466,COMMI,4,00:00.0,00:00.0,00:00.0,1,11.93
10467,MAGAA,8,00:00.0,00:00.0,00:00.0,2,4.93
10468,KOENE,3,00:00.0,00:00.0,00:00.0,3,44.12
10469,WHITC,1,00:00.0,00:00.0,00:00.0,1,60.18
10470,BONAP,4,00:00.0,00:00.0,00:00.0,2,64.56
10471,BSBEV,2,00:00.0,00:00.0,00:00.0,3,45.59
10472,SEVES,8,00:00.0,00:00.0,00:00.0,1,4.2
10473,ISLAT,1,00:00.0,00:00.0,00:00.0,3,16.37
10474,PERIC,5,00:00.0,00:00.0,00:00.0,2,83.49
10475,SUPRD,9,00:00.0,00:00.0,00:00.0,1,68.52
10476,HILAA,8,00:00.0,00:00.0,00:00.0,3,4.41
10477,PRINI,5,00:00.0,00:00.0,00:00.0,2,13.02
10478,VICTE,2,00:00.0,00:00.0,00:00.0,3,4.81
10479,RATTC,3,00:00.0,00:00.0,00:00.0,3,708.95
10480,FOLIG,6,00:00.0,00:00.0,00:00.0,2,1.35
10481,RICAR,8,00:00.0,00:00.0,00:00.0,2,64.33
10482,LAZYK,1,00:00.0,00:00.0,00:00.0,3,7.48
10483,WHITC,7,00:00.0,00:00.0,00:00.0,2,15.28
10484,BSBEV,3,00:00.0,00:00.0,00:00.0,3,6.88
10485,LINOD,4,00:00.0,00:00.0,00:00.0,2,64.45
10486,HILAA,1,00:00.0,00:00.0,00:00.0,2,30.53
10487,QUEEN,2,00:00.0,00:00.0,00:00.0,2,71.07
10488,FRANK,8,00:00.0,00:00.0,00:00.0,2,4.93
10489,PICCO,6,00:00.0,00:00.0,00:00.0,2,5.29
10490,HILAA,7,00:00.0,00:00.0,00:00.0,2,210.19
10491,FURIB,8,00:00.0,00:00.0,00:00.0,3,16.96
10492,BOTTM,3,00:00.0,00:00.0,00:00.0,1,62.89
10493,LAMAI,4,00:00.0,00:00.0,00:00.0,3,10.64
10494,COMMI,4,00:00.0,00:00.0,00:00.0,2,65.99
10495,LAUGB,3,00:00.0,00:00.0,00:00.0,3,4.65
10496,TRADH,7,00:00.0,00:00.0,00:00.0,2,46.77
10497,LEHMS,7,00:00.0,00:00.0,00:00.0,1,36.21
10498,HILAA,8,00:00.0,00:00.0,00:00.0,2,29.75
10499,LILAS,4,00:00.0,00:00.0,00:00.0,2,102.02
10500,LAMAI,6,00:00.0,00:00.0,00:00.0,1,42.68
10501,BLAUS,9,00:00.0,00:00.0,00:00.0,3,8.85
10502,PERIC,2,00:00.0,00:00.0,00:00.0,1,69.32
10503,HUNGO,6,00:00.0,00:00.0,00:00.0,2,16.74
10504,WHITC,4,00:00.0,00:00.0,00:00.0,3,59.13
10505,MEREP,3,00:00.0,00:00.0,00:00.0,3,7.13
10506,KOENE,9,00:00.0,00:00.0,00:00.0,2,21.19
10507,ANTON,7,00:00.0,00:00.0,00:00.0,1,47.45
10508,OTTIK,1,00:00.0,00:00.0,00:00.0,2,4.99
10509,BLAUS,4,00:00.0,00:00.0,00:00.0,1,0.15
10510,SAVEA,6,00:00.0,00:00.0,00:00.0,3,367.63
10511,BONAP,4,00:00.0,00:00.0,00:00.0,3,350.64
10512,FAMIA,7,00:00.0,00:00.0,00:00.0,2,3.53
10513,WANDK,7,00:00.0,00:00.0,00:00.0,1,105.65
10514,ERNSH,3,00:00.0,00:00.0,00:00.0,2,789.95
10515,QUICK,2,00:00.0,00:00.0,00:00.0,1,204.47
10516,HUNGO,2,00:00.0,00:00.0,00:00.0,3,62.78
10517,NORTS,3,00:00.0,00:00.0,00:00.0,3,32.07
10518,TORTU,4,00:00.0,00:00.0,00:00.0,2,218.15
10519,CHOPS,6,00:00.0,00:00.0,00:00.0,3,91.76
10520,SANTG,7,00:00.0,00:00.0,00:00.0,1,13.37
10521,CACTU,8,00:00.0,00:00.0,00:00.0,2,17.22
10522,LEHMS,4,00:00.0,00:00.0,00:00.0,1,45.33
10523,SEVES,7,00:00.0,00:00.0,00:00.0,2,77.63
10524,BERGS,1,00:00.0,00:00.0,00:00.0,2,244.79
10525,BONAP,1,00:00.0,00:00.0,00:00.0,2,11.06
10526,WARTH,4,00:00.0,00:00.0,00:00.0,2,58.59
10527,QUICK,7,00:00.0,00:00.0,00:00.0,1,41.9
10528,GREAL,6,00:00.0,00:00.0,00:00.0,2,3.35
10529,MAISD,5,00:00.0,00:00.0,00:00.0,2,66.69
10530,PICCO,3,00:00.0,00:00.0,00:00.0,2,339.22
10531,OCEAN,7,00:00.0,00:00.0,00:00.0,1,8.12
10532,EASTC,7,00:00.0,00:00.0,00:00.0,3,74.46
10533,FOLKO,8,00:00.0,00:00.0,00:00.0,1,188.04
10534,LEHMS,8,00:00.0,00:00.0,00:00.0,2,27.94
10535,ANTON,4,00:00.0,00:00.0,00:00.0,1,15.64
10536,LEHMS,3,00:00.0,00:00.0,00:00.0,2,58.88
10537,RICSU,1,00:00.0,00:00.0,00:00.0,1,78.85
10538,BSBEV,9,00:00.0,00:00.0,00:00.0,3,4.87
10539,BSBEV,6,00:00.0,00:00.0,00:00.0,3,12.36
10540,QUICK,3,00:00.0,00:00.0,00:00.0,3,1007.64
10541,HANAR,2,00:00.0,00:00.0,00:00.0,1,68.65
10542,KOENE,1,00:00.0,00:00.0,00:00.0,3,10.95
10543,LILAS,8,00:00.0,00:00.0,00:00.0,2,48.17
10544,LONEP,4,00:00.0,00:00.0,00:00.0,1,24.91
10545,LAZYK,8,00:00.0,00:00.0,00:00.0,2,11.92
10546,VICTE,1,00:00.0,00:00.0,00:00.0,3,194.72
10547,SEVES,3,00:00.0,00:00.0,00:00.0,2,178.43
10548,TOMSP,3,00:00.0,00:00.0,00:00.0,2,1.43
10549,QUICK,5,00:00.0,00:00.0,00:00.0,1,171.24
10550,GODOS,7,00:00.0,00:00.0,00:00.0,3,4.32
10551,FURIB,4,00:00.0,00:00.0,00:00.0,3,72.95
10552,HILAA,2,00:00.0,00:00.0,00:00.0,1,83.22
10553,WARTH,2,00:00.0,00:00.0,00:00.0,2,149.49
10554,OTTIK,4,00:00.0,00:00.0,00:00.0,3,120.97
10555,SAVEA,6,00:00.0,00:00.0,00:00.0,3,252.49
10556,SIMOB,2,00:00.0,00:00.0,00:00.0,1,9.8
10557,LEHMS,9,00:00.0,00:00.0,00:00.0,2,96.72
10558,AROUT,1,00:00.0,00:00.0,00:00.0,2,72.97
10559,BLONP,6,00:00.0,00:00.0,00:00.0,1,8.05
10560,FRANK,8,00:00.0,00:00.0,00:00.0,1,36.65
10561,FOLKO,2,00:00.0,00:00.0,00:00.0,2,242.21
10562,REGGC,1,00:00.0,00:00.0,00:00.0,1,22.95
10563,RICAR,2,00:00.0,00:00.0,00:00.0,2,60.43
10564,RATTC,4,00:00.0,00:00.0,00:00.0,3,13.75
10565,MEREP,8,00:00.0,00:00.0,00:00.0,2,7.15
10566,BLONP,9,00:00.0,00:00.0,00:00.0,1,88.4
10567,HUNGO,1,00:00.0,00:00.0,00:00.0,1,33.97
10568,GALED,3,00:00.0,00:00.0,00:00.0,3,6.54
10569,RATTC,5,00:00.0,00:00.0,00:00.0,1,58.98
10570,MEREP,3,00:00.0,00:00.0,00:00.0,3,188.99
10571,ERNSH,8,00:00.0,00:00.0,00:00.0,3,26.06
10572,BERGS,3,00:00.0,00:00.0,00:00.0,2,116.43
10573,ANTON,7,00:00.0,00:00.0,00:00.0,3,84.84
10574,TRAIH,4,00:00.0,00:00.0,00:00.0,2,37.6
10575,MORGK,5,00:00.0,00:00.0,00:00.0,1,127.34
10576,TORTU,3,00:00.0,00:00.0,00:00.0,3,18.56
10577,TRAIH,9,00:00.0,00:00.0,00:00.0,2,25.41
10578,BSBEV,4,00:00.0,00:00.0,00:00.0,3,29.6
10579,LETSS,1,00:00.0,00:00.0,00:00.0,2,13.73
10580,OTTIK,4,00:00.0,00:00.0,00:00.0,3,75.89
10581,FAMIA,3,00:00.0,00:00.0,00:00.0,1,3.01
10582,BLAUS,3,00:00.0,00:00.0,00:00.0,2,27.71
10583,WARTH,2,00:00.0,00:00.0,00:00.0,2,7.28
10584,BLONP,4,00:00.0,00:00.0,00:00.0,1,59.14
10585,WELLI,7,00:00.0,00:00.0,00:00.0,1,13.41
10586,REGGC,9,00:00.0,00:00.0,00:00.0,1,0.48
10587,QUEDE,1,00:00.0,00:00.0,00:00.0,1,62.52
10588,QUICK,2,00:00.0,00:00.0,00:00.0,3,194.67
10589,GREAL,8,00:00.0,00:00.0,00:00.0,2,4.42
10590,MEREP,4,00:00.0,00:00.0,00:00.0,3,44.77
10591,VAFFE,1,00:00.0,00:00.0,00:00.0,1,55.92
10592,LEHMS,3,00:00.0,00:00.0,00:00.0,1,32.1
10593,LEHMS,7,00:00.0,00:00.0,00:00.0,2,174.2
10594,OLDWO,3,00:00.0,00:00.0,00:00.0,2,5.24
10595,ERNSH,2,00:00.0,00:00.0,00:00.0,1,96.78
10596,WHITC,8,00:00.0,00:00.0,00:00.0,1,16.34
10597,PICCO,7,00:00.0,00:00.0,00:00.0,3,35.12
10598,RATTC,1,00:00.0,00:00.0,00:00.0,3,44.42
10599,BSBEV,6,00:00.0,00:00.0,00:00.0,3,29.98
10600,HUNGC,4,00:00.0,00:00.0,00:00.0,1,45.13
10601,HILAA,7,00:00.0,00:00.0,00:00.0,1,58.3
10602,VAFFE,8,00:00.0,00:00.0,00:00.0,2,2.92
10603,SAVEA,8,00:00.0,00:00.0,00:00.0,2,48.77
10604,FURIB,1,00:00.0,00:00.0,00:00.0,1,7.46
10605,MEREP,1,00:00.0,00:00.0,00:00.0,2,379.13
10606,TRADH,4,00:00.0,00:00.0,00:00.0,3,79.4
10607,SAVEA,5,00:00.0,00:00.0,00:00.0,1,200.24
10608,TOMSP,4,00:00.0,00:00.0,00:00.0,2,27.79
10609,DUMON,7,00:00.0,00:00.0,00:00.0,2,1.85
10610,LAMAI,8,00:00.0,00:00.0,00:00.0,1,26.78
10611,WOLZA,6,00:00.0,00:00.0,00:00.0,2,80.65
10612,SAVEA,1,00:00.0,00:00.0,00:00.0,2,544.08
10613,HILAA,4,00:00.0,00:00.0,00:00.0,2,8.11
10614,BLAUS,8,00:00.0,00:00.0,00:00.0,3,1.93
10615,WILMK,2,00:00.0,00:00.0,00:00.0,3,0.75
10616,GREAL,1,00:00.0,00:00.0,00:00.0,2,116.53
10617,GREAL,4,00:00.0,00:00.0,00:00.0,2,18.53
10618,MEREP,1,00:00.0,00:00.0,00:00.0,1,154.68
10619,MEREP,3,00:00.0,00:00.0,00:00.0,3,91.05
10620,LAUGB,2,00:00.0,00:00.0,00:00.0,3,0.94
10621,ISLAT,4,00:00.0,00:00.0,00:00.0,2,23.73
10622,RICAR,4,00:00.0,00:00.0,00:00.0,3,50.97
10623,FRANK,8,00:00.0,00:00.0,00:00.0,2,97.18
10624,THECR,4,00:00.0,00:00.0,00:00.0,2,94.8
10625,ANATR,3,00:00.0,00:00.0,00:00.0,1,43.9
10626,BERGS,1,00:00.0,00:00.0,00:00.0,2,138.69
10627,SAVEA,8,00:00.0,00:00.0,00:00.0,3,107.46
10628,BLONP,4,00:00.0,00:00.0,00:00.0,3,30.36
10629,GODOS,4,00:00.0,00:00.0,00:00.0,3,85.46
10630,KOENE,1,00:00.0,00:00.0,00:00.0,2,32.35
10631,LAMAI,8,00:00.0,00:00.0,00:00.0,1,0.87
10632,WANDK,8,00:00.0,00:00.0,00:00.0,1,41.38
10633,ERNSH,7,00:00.0,00:00.0,00:00.0,3,477.9
10634,FOLIG,4,00:00.0,00:00.0,00:00.0,3,487.38
10635,MAGAA,8,00:00.0,00:00.0,00:00.0,3,47.46
10636,WARTH,4,00:00.0,00:00.0,00:00.0,1,1.15
10637,QUEEN,6,00:00.0,00:00.0,00:00.0,1,201.29
10638,LINOD,3,00:00.0,00:00.0,00:00.0,1,158.44
10639,SANTG,7,00:00.0,00:00.0,00:00.0,3,38.64
10640,WANDK,4,00:00.0,00:00.0,00:00.0,1,23.55
10641,HILAA,4,00:00.0,00:00.0,00:00.0,2,179.61
10642,SIMOB,7,00:00.0,00:00.0,00:00.0,3,41.89
10643,ALFKI,6,00:00.0,00:00.0,00:00.0,1,29.46
10644,WELLI,3,00:00.0,00:00.0,00:00.0,2,0.14
10645,HANAR,4,00:00.0,00:00.0,00:00.0,1,12.41
10646,HUNGO,9,00:00.0,00:00.0,00:00.0,3,142.33
10647,QUEDE,4,00:00.0,00:00.0,00:00.0,2,45.54
10648,RICAR,5,00:00.0,00:00.0,00:00.0,2,14.25
10649,MAISD,5,00:00.0,00:00.0,00:00.0,3,6.2
10650,FAMIA,5,00:00.0,00:00.0,00:00.0,3,176.81
10651,WANDK,8,00:00.0,00:00.0,00:00.0,2,20.6
